Cloudy_TF,Sprinkler_TF,Rain_TF,WetGrass_TF,Cloudy,Sprinkler,Rain,WetGrass
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,F,1,0,1,0
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
T,T,T,T,1,1,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
F,T,T,T,0,1,1,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,T,T,T,1,1,1,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,F,0,1,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,T,F,T,1,1,0,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,T,T,T,0,1,1,1
T,F,T,T,1,0,1,1
T,T,T,T,1,1,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
T,T,T,T,1,1,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
T,T,T,T,1,1,1,1
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
T,T,F,T,1,1,0,1
T,F,T,F,1,0,1,0
T,F,F,F,1,0,0,0
F,T,F,F,0,1,0,0
F,F,T,T,0,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,T,T,0,0,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
F,F,T,T,0,0,1,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,T,T,0,0,1,1
F,T,F,T,0,1,0,1
T,F,T,F,1,0,1,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
F,F,T,T,0,0,1,1
T,F,T,F,1,0,1,0
T,F,T,F,1,0,1,0
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,F,1,0,1,0
T,T,T,T,1,1,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,T,T,T,1,1,1,1
F,F,T,T,0,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,T,T,T,0,1,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
F,T,T,T,0,1,1,1
T,F,T,T,1,0,1,1
F,F,T,F,0,0,1,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,T,T,0,0,1,1
F,F,F,F,0,0,0,0
T,F,T,F,1,0,1,0
F,T,T,T,0,1,1,1
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
F,T,T,T,0,1,1,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,T,T,T,1,1,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
F,T,F,T,0,1,0,1
T,T,T,T,1,1,1,1
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
F,F,T,T,0,0,1,1
F,T,F,T,0,1,0,1
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
T,F,T,F,1,0,1,0
F,T,T,T,0,1,1,1
T,F,T,T,1,0,1,1
F,F,T,T,0,0,1,1
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
T,T,F,T,1,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
T,F,F,F,1,0,0,0
T,F,T,F,1,0,1,0
F,F,T,T,0,0,1,1
T,T,T,T,1,1,1,1
T,F,T,T,1,0,1,1
T,F,T,F,1,0,1,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,F,T,T,0,0,1,1
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
T,F,T,F,1,0,1,0
F,F,T,T,0,0,1,1
F,T,T,T,0,1,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,T,T,0,0,1,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
T,F,T,F,1,0,1,0
T,F,T,F,1,0,1,0
F,T,T,T,0,1,1,1
T,F,T,F,1,0,1,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,T,F,F,0,1,0,0
F,T,F,T,0,1,0,1
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,T,T,T,0,1,1,1
T,F,F,F,1,0,0,0
T,F,T,F,1,0,1,0
F,F,T,T,0,0,1,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,T,T,0,0,1,1
F,T,T,T,0,1,1,1
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,T,F,F,0,1,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,F,1,0,1,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,T,T,T,1,1,1,1
F,F,T,T,0,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,F,1,0,1,0
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
T,F,T,F,1,0,1,0
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,T,T,T,1,1,1,1
F,T,F,F,0,1,0,0
F,T,T,T,0,1,1,1
T,T,T,T,1,1,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,T,T,T,1,1,1,1
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
F,F,T,T,0,0,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,T,T,T,1,1,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
T,F,T,F,1,0,1,0
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,F,T,F,0,0,1,0
T,F,F,F,1,0,0,0
F,F,T,T,0,0,1,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,T,T,T,0,1,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,F,F,0,1,0,0
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,T,F,T,1,1,0,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,T,T,T,0,1,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,F,T,T,0,0,1,1
F,F,T,T,0,0,1,1
F,F,T,T,0,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
F,F,T,T,0,0,1,1
F,T,F,T,0,1,0,1
T,T,T,T,1,1,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,T,F,1,0,1,0
T,T,F,T,1,1,0,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
F,F,T,T,0,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,T,F,T,1,1,0,1
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,T,F,1,0,1,0
F,T,F,F,0,1,0,0
F,F,F,F,0,0,0,0
F,T,T,T,0,1,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
F,T,F,F,0,1,0,0
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
T,T,T,T,1,1,1,1
F,T,F,T,0,1,0,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
T,F,T,F,1,0,1,0
T,T,T,T,1,1,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,F,0,1,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
F,T,T,T,0,1,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
F,F,T,T,0,0,1,1
F,F,F,F,0,0,0,0
F,T,T,T,0,1,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
T,T,F,T,1,1,0,1
F,T,F,T,0,1,0,1
F,T,F,F,0,1,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,F,F,0,1,0,0
T,F,T,T,1,0,1,1
T,T,T,T,1,1,1,1
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,T,T,T,1,1,1,1
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
F,F,F,F,0,0,0,0
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,T,T,T,1,1,1,1
F,F,T,T,0,0,1,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,T,T,T,0,1,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,T,T,0,0,1,1
F,T,F,T,0,1,0,1
T,F,T,F,1,0,1,0
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
T,F,T,F,1,0,1,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,T,T,T,1,1,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,F,T,T,0,0,1,1
F,T,T,T,0,1,1,1
T,F,T,F,1,0,1,0
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
T,T,T,T,1,1,1,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,F,T,T,0,0,1,1
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
T,T,T,T,1,1,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
F,T,F,F,0,1,0,0
T,F,T,T,1,0,1,1
T,T,F,T,1,1,0,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,T,T,T,1,1,1,1
F,T,F,F,0,1,0,0
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,T,T,0,1,1,1
F,F,F,F,0,0,0,0
F,T,T,T,0,1,1,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
F,T,T,T,0,1,1,1
T,T,T,T,1,1,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,T,T,T,1,1,1,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,F,T,T,0,0,1,1
F,T,F,T,0,1,0,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,F,T,T,0,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,F,1,0,1,0
F,T,F,T,0,1,0,1
F,F,T,T,0,0,1,1
F,T,F,T,0,1,0,1
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
T,T,F,T,1,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,F,F,0,1,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,F,F,F,0,0,0,0
T,F,T,F,1,0,1,0
T,F,T,F,1,0,1,0
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,T,T,0,0,1,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
T,F,T,F,1,0,1,0
T,T,F,T,1,1,0,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
F,T,F,T,0,1,0,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,T,T,T,0,1,1,1
T,F,T,T,1,0,1,1
T,F,T,T,1,0,1,1
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
F,F,F,F,0,0,0,0
T,F,T,T,1,0,1,1
T,T,T,T,1,1,1,1
T,F,T,T,1,0,1,1
F,T,F,T,0,1,0,1
T,F,T,T,1,0,1,1
T,F,F,F,1,0,0,0
F,T,F,T,0,1,0,1
